name,brand,price,fret-amount,string-amount,scale,body,body-material
MOOER GTRS P801 Dark Silver,MOOER,94.99,24,6,25.5,Stratocaster,ольха
IBANEZ QX52-BKF,IBANEZ,113.0,22,6,25.5,Stratocaster,тополь
IBANEZ RG652AHM-NGB,IBANEZ,173.0,24,6,25.5,Superstrat,ясень
IBANEZ SA360NQM-BMG,IBANEZ,57.0,24,6,26.5,Superstrat,окуме
IBANEZ AS93BC-BK,IBANEZ,85.0,22,6,26.5,Modern stat,ольха
"S by Solar EB4.6C электрогитара с чехлом, форма Explorer, цвет черный",S,36.99,24,6,25.5,Modern stat,красное дерево
IBANEZ GRX70QAL-TBB,IBANEZ,32.0,22,6,25.5,Superstrat,тополь
DONNER LP-124 Black,DONNER,20.9,24,6,26.5,другая форма,липа
DENN ST100 WH,DENN,10.49,24,6,25.5,Stratocaster,платан
DONNER DMT-100 Black,DONNER,24.2,24,6,25.5,Dreadnought,тополь
DONNER DMT-100 White,DONNER,24.2,24,6,26.5,Stratocaster,тополь
YAMAHA PACIFICA 012 BL,YAMAHA,40.49,22,6,25.5,Stratocaster,агатис
ROCKDALE Akira HH Snow White,ROCKDALE,16.7,22,6,26.5,Superstrat,ольха
PEAVEY Raptor Plus Sunburst,PEAVEY,23.4,22,6,26.5,Modern stat,клён
DONNER DST-200 Black,DONNER,21.6,22,6,25.5,Stratocaster,тополь
DONNER DST-152 Polar White,DONNER,21.1,24,6,25.5,Stratocaster,тополь
PEAVEY Raptor Custom CLB,PEAVEY,24.7,24,6,25.5,Superstrat,липа
DONNER DST-100 Black,DONNER,19.0,22,6,25.5,Stratocaster,тополь
DONNER LP-124 Sunburst,DONNER,20.9,24,6,24.75,другая форма,липа
IBANEZ AZ47P1QM-BIB,IBANEZ,160.0,24,6,25.5,Superstrat,липа
DONNER DST-100 Sunburst,DONNER,19.0,22,6,25.5,Modern stat,тополь
DONNER ST-152 Black,DONNER,21.1,24,6,25.5,Superstrat,ольха
EPIPHONE 1961 Les Paul SG Standard Aged 60s Cherry,EPIPHONE,167.0,22,6,26.5,Stratocaster,тополь
FENDER SQUIER Sonic Mustang HH California Blue,FENDER,24.2,22,6,24.5,Stratocaster,тополь
IBANEZ GRGR131EX-BKF,IBANEZ,28.4,24,6,25.5,Stratocaster,тополь
TERRIS TLP-039 BK,TERRIS,15.19,24,6,25.5,Les paul,липа
ROCKDALE Stars HT HSS Black Limited Edition,ROCKDALE,13.7,24,6,25.5,Stratocaster,тополь
Schecter SGR AVENGER M BLK,Schecter,28.615,22,6,24.5,Superstrat,красное дерево
ROCKDALE Stars HSS SB,ROCKDALE,12.2,24,6,24.5,Stratocaster,тополь
IBANEZ GRX70QA-TKS,IBANEZ,23.94,24,6,26.5,Stratocaster,липа
EART GW2 NBK,EART,48.0,24,6,25.5,другая форма,падук
ROCKDALE Stars Plus HT HH Black,ROCKDALE,16.5,22,6,25.5,Stratocaster,тополь
Fabio ST100 BK,Fabio,8.662,24,6,24.5,Stratocaster,липа
ROCKDALE Stars Plus HT HSS Maple White,ROCKDALE,16.8,22,6,25.5,Stratocaster,тополь
JET JT-300 SB,JET,19.64,22,6,25.5,Telecaster,липа
TERRIS TPACK-1 BK,TERRIS,17.76,22,6,25.5,Stratocaster,липа
IBANEZ RGT1270PB-DTF,IBANEZ,165.0,24,6,26.5,Superstrat,тополь
ROCKDALE Stars Plus HT HH Maple White,ROCKDALE,16.8,24,6,25.5,Stratocaster,тополь
Schecter SGR SOLO II BLK,Schecter,30.268,22,6,24.5,Modern stat,клён
Schecter BANSHEE-6 SGR SBK,Schecter,29.488,24,6,26.5,Superstrat,тополь
EART GW2 Natural,EART,48.0,24,6,25.5,Stratocaster,падук
ROCKDALE Stars Plus HSS Maple Black,ROCKDALE,15.1,24,6,25.5,Stratocaster,тополь
EART GW2PRO-GD Black,EART,83.0,24,6,25.5,Superstrat,ясень
EART NK-C3 Trans Cherryburst,EART,49.0,22,6,25.5,Superstrat,красное дерево
TERRIS TLP-039 WH,TERRIS,15.19,24,6,25.5,Les paul,липа
EART NK-C3 Trans Black,EART,49.0,24,6,25.5,Superstrat,тополь
Fabio ST100 BLS,Fabio,8.662,22,6,25.5,Stratocaster,липа
Schecter SGR C-1 M RED,Schecter,28.615,24,6,25.5,Modern stat,клён
AIERSI PRS-24 Blue Summer Sky Burst,AIERSI,58.65,24,6,25.5,Stratocaster,красное дерево
IBANEZ RGD71ALPA-CKF,IBANEZ,162.0,24,6,26.5,Superstrat,ясень
JET JL-500 GD,JET,45.65,22,6,24.75,Les paul,красное дерево
JET JT-300 BTS,JET,19.64,24,6,25.5,Telecaster,липа
STAGG SES-30 IBM,STAGG,14.2,22,6,24.5,Superstrat,ольха
Bosstone LP-6 SB+Bag,Bosstone,20.705,24,6,26.5,Les paul,тополь
IBANEZ SA460MBW-SUB,IBANEZ,70.0,22,6,26.5,Superstrat,окуме
AF75G-BKF,AF75G-BKF,67.0,22,6,24.7,Superstrat,липа
ROCKDALE Stars SSS Black,ROCKDALE,12.1,22,6,25.5,Stratocaster,тополь
Fabio ST200 SB (Н/S/S),Fabio,8.966,24,6,25.5,Stratocaster,ольха
Schecter SGR C-1 BLK,Schecter,28.615,22,6,24.5,Modern stat,ольха
EART YMS-SG3 Trans Red,EART,35.0,24,6,25.5,Stratocaster,красное дерево
ROCKDALE Stars SSS White,ROCKDALE,12.1,24,6,25.5,Stratocaster,тополь
EART GW2PRO Trans White,EART,78.0,24,6,25.5,Stratocaster,ясень
TERRIS TPACK-1 SB,TERRIS,17.76,24,6,25.5,Stratocaster,липа
Fabio LP02 BK,Fabio,13.526,24,6,25.5,Les paul,ольха
IBANEZ JEMJR-BK,IBANEZ,62.0,22,6,25.5,Superstrat,красное дерево
Fernandes LE-1Z CAR/L,Fernandes,28.99,24,6,25.5,Superstrat,ольха
Fabio ST200 BK (Н/S/S),Fabio,8.966,24,6,24.5,Superstrat,ольха
EPIPHONE SLASH APPETITE LES PAUL SPECIAL II PERFORMANCE PACK,EPIPHONE,54.75,24,6,24.75,Les paul,красное дерево
Fabio ST100 RDS,Fabio,8.662,24,6,26.5,Superstrat,ольха
IBANEZ JIVAJR-DSE,IBANEZ,94.0,22,6,25.5,Stratocaster,меранти
Schecter DEMON-6 VWHT,Schecter,61.304,22,6,25.5,Superstrat,красное дерево
IBANEZ QX527PB-ABS,IBANEZ,136.0,22,6,25.5,Modern stat,красное дерево
TERRIS TSS-039 BK,TERRIS,14.21,22,6,25.5,Superstrat,липа
EART EXPLORER-H6 Natural,EART,78.0,24,6,25.5,Superstrat,тополь
Solar Guitars S1.6HLB,Solar,159.99,22,6,25.5,Superstrat,красное дерево
ROCKDALE Stars HT HSS Sunburst,ROCKDALE,12.6,22,6,25.5,Stratocaster,тополь
Bosstone TG-03 SB+Bag,Bosstone,14.627,24,6,25.5,Superstrat,платан
STAGG SES-30 BK,STAGG,14.2,22,6,24.5,Modern stat,ольха
ARIA PRO II TEG-002 TTBK,ARIA,18.171,22,6,26.5,Modern stat,тополь
Schecter BANSHEE-6 SGR WSN,Schecter,29.488,24,6,26.5,Stratocaster,клён
EART GW2 Stealth Black,EART,48.0,24,6,25.5,другая форма,падук
Bosstone SG-04 BL+Bag,Bosstone,12.157,24,6,25.5,Stratocaster,платан
Schecter SGR S-1 WSN,Schecter,28.615,22,6,25.5,Superstrat,липа
Fabio ST200 N (Н/S/S),Fabio,8.966,24,6,25.5,Stratocaster,ольха
IBANEZ Q54-BKF,IBANEZ,114.0,22,6,26.5,Superstrat,тополь
IBANEZ AZES40-MGR,IBANEZ,41.0,24,6,25.0,Modern stat,тополь
ROCKDALE Stars HSS Blue Metallic,ROCKDALE,12.9,24,6,25.5,Stratocaster,тополь
ARIA PRO II MAC-STD PWH,ARIA,25.399,22,6,25.5,Modern stat,ольха
Caraya E100BK,Caraya,10.63,22,6,18.75,Superstrat,ольха
Schecter BANSHEE-6 SGR BLK,Schecter,29.488,22,6,26.5,Modern stat,клён
JET JS-400 SFG,JET,20.95,22,6,25.5,Stratocaster,липа
ARIA PRO II J-2 CA,ARIA,23.03,24,6,24.75,другая форма,тополь
Bosstone TG-03 WH+Bag,Bosstone,14.627,24,6,25.5,Telecaster,платан
TERRIS TLP-039 LB,TERRIS,15.19,24,6,24.75,Les paul,липа
SCHECTER DEMON-6 CRB,SCHECTER,61.304,24,6,25.5,Modern stat,ольха
Schecter BANSHEE-6 SGR EB,Schecter,29.488,24,6,25.5,Superstrat,липа
Russtone RULP-D BK,Russtone,22.265,22,6,25.5,другая форма,тополь
CORT G200-PPK G Series,CORT,24.63,22,6,25.5,Stratocaster,тополь
Schecter SGR C-1 EB,Schecter,28.615,24,6,25.5,Superstrat,липа
TERRIS TLP-039 RD,TERRIS,15.19,22,6,25.5,Les paul,липа
STAGG SEL-HB90 WHB,STAGG,19.85,22,6,25.5,Superstrat,красное дерево
TERRIS TST-39 WH,TERRIS,10.58,22,6,25.5,Stratocaster,липа
ARIA PRO II 714-MK2 TQBL,ARIA,31.772,22,6,25.5,Superstrat,красное дерево
STAGG SEL-STD GOLD,STAGG,24.99,22,6,25.5,Modern stat,тополь
Solar Guitars V2.7C,Solar,125.99,22,6,25.5,Flying-v,красное дерево
Bosstone TG-03 BK+Bag,Bosstone,14.627,22,6,25.5,Telecaster,платан
Schecter SGR SOLO II M RED,Schecter,30.268,22,6,24.75,Les paul,липа
Solar Guitars A2.6LN,Solar,112.99,24,6,25.5,Superstrat,красное дерево
Russtone RULP-D WH,Russtone,22.265,22,6,25.5,другая форма,тополь
ARIA PRO II J-2 BK,ARIA,23.03,22,6,24.7,другая форма,тополь
ARIA PRO II PE-350CST AGBK,ARIA,36.858,24,6,24.5,Stratocaster,красное дерево
SCHECTER OMEN EXTREME-7 STBLK,SCHECTER,61.006,22,6,25.5,Superstrat,клён
IBANEZ AF75-TRS,IBANEZ,55.8,22,6,24.7,Superstrat,липа
TERRIS TSS-239 BK,TERRIS,18.1,24,6,25.5,Superstrat,липа
Bosstone SG-04HH BL+Bag,Bosstone,13.677,24,6,25.5,Stratocaster,платан
Schecter SGR 006 M RED,Schecter,28.615,24,6,25.5,Superstrat,липа
SCHECTER SGR C-1 MSBK,SCHECTER,28.615,24,6,24.5,Modern stat,тополь
STAGG SES-30 CAR,STAGG,14.2,24,6,24.5,Stratocaster,тополь
Bosstone SR-06 MBL+Bag,Bosstone,14.057,22,6,25.5,Superstrat,липа
Schecter SGR S-1 BLK,Schecter,28.615,24,6,25.5,другая форма,липа
SCHECTER SGR SOLO-II BLK,SCHECTER,27.99,22,6,25.5,Modern stat,тополь
"Fernandes LE-1Z BLK/L электрогитара Stratocaster HSS, цвет - чёрный",Fernandes,28.99,24,6,25.5,Superstrat,ольха
FARIDA F-5020 Metallic Blue,FARIDA,37.0,22,6,25.5,Stratocaster,ольха
TERRIS TST-39 LB,TERRIS,10.58,22,6,25.5,Stratocaster,липа
IBANEZ AS73G-PBM,IBANEZ,65.0,24,6,24.72,Stratocaster,липа
ARIA PRO II MAC-STD MBK,ARIA,25.399,22,6,24.5,Modern stat,клён
Schecter BANSHEE-6 SGR M RED,Schecter,29.488,22,6,25.5,Stratocaster,липа
PEAVEY Raptor Custom BLK,PEAVEY,24.7,22,6,25.5,Stratocaster,липа
ARIA PRO II J-TL SVW,ARIA,24.506,22,6,25.5,другая форма,тополь
JET JS-500 SLS,JET,34.7,22,6,26.5,Stratocaster,липа
Cort Sunset-Nylectric-NAT Sunset Series,Cort,48.53,22,6,26.5,с вырезом,красное дерево
JET JS-500 BLS,JET,34.7,24,6,24.5,Stratocaster,липа
ARIA PRO II TEG-002 IV,ARIA,18.142,22,6,26.5,Telecaster,липа
ARIA PRO II PE-590STD AGCS,ARIA,36.444,22,6,24.7,Les paul,окуме
ARIA PRO II TEG-TL MIB,ARIA,29.742,22,6,25.5,Telecaster,окуме
Fernandes LE-1Z 3S CAR/L,Fernandes,28.99,24,6,25.5,Stratocaster,ольха
Solar Guitars A2.7TBR SK,Solar,119.99,22,6,25.5,Superstrat,сунгкай
Fernandes RXX06 SW,Fernandes,39.99,24,6,24.5,Stratocaster,клён
JET JS-600 BS,JET,45.85,24,6,25.5,Stratocaster,клён
Schecter C-7 Deluxe SBK,Schecter,45.496,22,6,26.5,Superstrat,липа
MOOER GTRS P801 Dark Night,MOOER,94.99,24,6,25.5,Stratocaster,ольха
Schecter SGR S-1 MSBK,Schecter,28.615,22,6,25.5,Superstrat,липа
STAGG SES-30 LH BK,STAGG,14.2,22,6,24.5,Superstrat,ольха
Fernandes LE-1Z 3S 2SB/M,Fernandes,28.99,24,6,25.5,Stratocaster,ольха
Schecter C-7 Deluxe SWHT,Schecter,45.496,22,6,26.5,другая форма,липа
Schecter SGR 006 WSN,Schecter,28.615,24,6,25.5,Superstrat,липа
Fernandes LE-1Z 3S CW/L,Fernandes,28.99,24,6,25.5,Stratocaster,ольха
STAGG SES-30 SNB,STAGG,14.2,22,6,25.5,Stratocaster,тополь
G&L Tribute Comanche Emerald Blue MP Poplar,G&L,106.0,24,6,25.5,Telecaster,тополь
FARIDA F-5052 Wine Red Sparkling,FARIDA,72.0,22,6,25.5,Offset,ольха
Fernandes LE-1Z 3SB/ L,Fernandes,28.99,22,6,26.5,Superstrat,клён
CORT G290-FAT-II-BBB G Series,CORT,57.32,22,6,25.5,Superstrat,ясень
EART NK-C3 Trans Blue,EART,49.0,24,6,24.5,Superstrat,красное дерево
Fabio ST200 BLS (Н/S/S),Fabio,8.966,24,6,25.5,Stratocaster,ольха
ARIA PRO II STG-003 MBL,ARIA,15.379,24,6,25.5,Stratocaster,липа
ARIA PRO II PE-350CST AGWH,ARIA,36.858,22,6,24.75,другая форма,липа
SCHECTER SGR BANSHEE-6 MRED,SCHECTER,27.99,24,6,26.5,Stratocaster,красное дерево
CORT X700-Duality-II-PIB X Series,CORT,92.223,22,6,25.5,Superstrat,клён
ARIA PRO II DM-206 BK,ARIA,30.812,22,6,24.75,другая форма,липа
CORT MBM-2P-SS META Series,CORT,63.92,22,6,25.5,Les paul,липа
TERRIS TST-39 YW,TERRIS,10.58,22,6,25.5,Stratocaster,липа
ARIA PRO II STG-003 CA,ARIA,15.379,22,6,25.5,Stratocaster,ольха
STAGG SES-55 STF RED,STAGG,16.99,22,6,26.5,Superstrat,ольха
Fernandes LE-1Z 3S 3SB/L,Fernandes,28.99,22,6,25.5,Stratocaster,ольха
TERRIS TLP-039 YW,TERRIS,15.19,24,6,25.5,Les paul,липа
ARIA PRO II TEG-TL TTWH,ARIA,29.742,24,6,25.5,Telecaster,окуме
Schecter SGR S-1 M RED,Schecter,28.615,22,6,25.5,другая форма,липа
Cort G300-PRO-BK G Series,Cort,70.17,24,6,26.5,Stratocaster,липа
"S by Solar VB4.6C электрогитара с чехлом, форма V, цвет черный",S,38.99,22,6,24.5,Modern stat,ольха
ARIA PRO II 714-STD 3TS,ARIA,16.497,22,6,24.5,Stratocaster,тополь
CORT G250-Spectrum-MPU G Series,CORT,35.98,22,6,25.5,Stratocaster,липа
Schecter SGR C-7 MSBK,Schecter,30.264,24,6,24.5,Modern stat,тополь
ARIA PRO II PE-590STD AGTS,ARIA,36.444,24,6,24.75,другая форма,окуме
ARIA PRO II 714-MK2 MBWH,ARIA,31.772,22,6,26.5,Modern stat,ольха
ARIA PRO II 615-MK2 RBRD,ARIA,34.235,24,6,25.5,Telecaster,тополь
Bosstone SG-04HH 3TS+Bag,Bosstone,13.677,24,6,25.5,Stratocaster,платан
Fernandes LE-1Z 3S BLK/L,Fernandes,28.99,22,6,25.5,Stratocaster,ольха
JET JS-450 TBK,JET,34.6,24,6,25.5,Stratocaster,липа
TERRIS TTL-039 WH,TERRIS,12.95,22,6,25.5,Telecaster,липа
CORT MBM-2H-Sustainiac-BBE META Series,CORT,92.82,24,6,25.5,Telecaster,липа
ARIA PRO II PE-350STD AGBS,ARIA,30.955,24,6,24.5,Les paul,липа
CORT G280-Select-TCP G Series,CORT,51.71,24,6,25.5,Superstrat,ольха
MOOER GTRS S801 Gold,MOOER,59.99,24,6,25.5,Modern stat,клён
ARIA PRO II 714-MK2 BKDM,ARIA,31.772,24,6,25.5,Superstrat,тополь
Fabio LP02 SB,Fabio,13.526,22,6,24.5,Superstrat,ольха
G&L Tribute Legacy Black MP Poplar,G&L,85.0,24,6,25.5,Stratocaster,тополь
PEAVEY Raptor Plus SSS SNB,PEAVEY,23.4,22,6,25.5,Stratocaster,клён
STERLING Cutlass Vintage Cream,STERLING,88.1,24,6,25.5,Stratocaster,тополь
ARIA PRO II TEG-002 CA,ARIA,18.171,22,6,26.5,Stratocaster,тополь
ARIA PRO II STG-003/M BK,ARIA,15.379,24,6,24.5,Stratocaster,липа
SCHECTER REAPER-6 CUSTOM GLOSS BLACK,SCHECTER,121.99,22,6,26.5,Superstrat,красное дерево
AS73-TCD,AS73-TCD,59.0,22,6,25.5,Superstrat,красное дерево
G&L Tribute Legacy Natural MP SF,G&L,91.0,22,6,26.5,Stratocaster,сассафрас
MOOER GTRS S800 White,MOOER,59.99,22,6,34.0,другая форма,липа
MOOER GTRS S801 White,MOOER,59.99,22,6,25.5,Superstrat,ольха
ARIA PRO II 615-MK2 TQBL,ARIA,34.235,24,6,25.5,Telecaster,тополь
ARIA PRO II STG-003 WH,ARIA,15.379,24,6,24.5,Stratocaster,красное дерево
ARIA STG-62 3TS,ARIA,26.99,22,6,25.5,Stratocaster,ольха
FARIDA F-5052 Pigment Green Sparkling,FARIDA,72.0,24,6,25.5,другая форма,ольха
CORT X700-Duality-II-LVB X Series,CORT,102.47,24,6,25.5,другая форма,красное дерево
STERLING Mariposa Dorado Green,STERLING,96.15,22,6,24.5,другая форма,ньятон
STAGG SVY 533 TCH,STAGG,34.79,22,6,26.5,Superstrat,ольха
SCHECTER SGR 006 BLK,SCHECTER,28.615,24,6,24.5,Superstrat,липа
"S by Solar EB4.6W электрогитара с чехлом, форма Explorer, цвет белый",S,36.99,22,6,25.5,Superstrat,красное дерево
ARIA PRO II 714-STD BK,ARIA,16.497,24,6,25.5,Modern stat,тополь
ARIA PRO II TEG-TL N,ARIA,29.742,24,6,25.5,Telecaster,окуме
SCHECTER SGR BANSHEE-6 EB,SCHECTER,27.99,24,6,25.5,Stratocaster,клён
G&L Tribute Legacy Gloss White SF MP,G&L,85.0,24,6,25.5,Stratocaster,ясень
"EVH WG STD, BKD MPL FB, w/BN, GLOSS BLACK",EVH,116.0,24,6,25.5,Stratocaster,липа
CORT MBM-2H-Sustainiac-SBLK META Series,CORT,90.77,22,6,25.5,Stratocaster,липа
STERLING Luke Signature Hazel Burst,STERLING,132.95,22,6,25.5,другая форма,липа
ARIA PRO II J-TL 2TS,ARIA,24.506,24,6,25.5,другая форма,липа
STERLING Majesty Siberian Sapphire,STERLING,184.25,24,6,25.5,другая форма,ньятон
JET JT-350 BK R,JET,34.3,24,6,25.5,Telecaster,ольха
JET JS-600 TRS,JET,45.85,24,6,25.5,Stratocaster,клён
CORT MBM-2P-SBLK META Series,CORT,63.92,24,6,25.5,Telecaster,липа
ARIA PRO II TEG-002 3TS,ARIA,18.171,22,6,25.5,Telecaster,липа
CORT G300-GLAM-PIMB G Series,CORT,82.48,22,6,25.5,другая форма,красное дерево
IBANEZ AF95FM-AYS,IBANEZ,89.0,22,6,25.5,другая форма,клён
"S by Solar AB4.7С 7-струнная электрогитара, цвет черный",S,35.99,22,6,25.5,Stratocaster,тополь
ARIA JET-TL SVW,ARIA,22.69,24,6,24.72,другая форма,тополь
IBANEZ AMH90-IV,IBANEZ,85.0,22,6,24.5,другая форма,липа
MOOER GTRS P801 White,MOOER,89.99,22,6,25.5,Stratocaster,ольха
SCHECTER SGR C-1 EB,SCHECTER,27.39,22,6,25.5,Modern stat,красное дерево
ARIA PRO II STG-003SPL M/BK,ARIA,15.379,24,6,25.5,Modern stat,красное дерево
ARIA PRO II 615-MK2 BKDM,ARIA,34.235,24,6,24.5,Superstrat,клён
JET JS-450 TBL,JET,34.6,24,6,25.5,Modern stat,липа
TERRIS TSS-139 BK,TERRIS,14.77,22,6,25.5,Superstrat,липа
ARIA PRO II TEG-TL 3TS,ARIA,29.742,22,6,25.5,Telecaster,липа
MOOER GTRS W800 Pearl Pink,MOOER,89.99,22,6,25.5,другая форма,ольха
SCHECTER SGR C-1 M RED,SCHECTER,27.39,24,6,25.5,Modern stat,ольха
ARIA 718-MK2 OPBK,ARIA,36.99,24,6,24.75,Les paul,красное дерево
EPIPHONE Les Paul Prophecy Red Tiger,EPIPHONE,174.0,22,6,26.5,Modern stat,тополь
IBANEZ AZ2203N-BK,IBANEZ,224.0,22,6,25.5,Superstrat,ольха
SCHECTER SGR BANSHEE-6 BLK,SCHECTER,27.99,22,6,26.5,Stratocaster,ольха
STERLING Cutlass Toluca Lake Blue,STERLING,88.1,24,6,25.5,другая форма,тополь
MOOER GTRS P800 White,MOOER,89.99,24,6,25.5,Stratocaster,ольха
G&L FD ASAT Classic 3-Tone Sunburst MP,G&L,299.0,22,6,26.5,Stratocaster,красное дерево
ARIA PRO II 615-MK2 MBWH,ARIA,34.235,24,6,25.5,Telecaster,тополь
ARIA PRO II J-TL BK,ARIA,24.506,22,6,25.5,другая форма,липа
STAGG SVYSPCL BK,STAGG,29.105,22,6,24.5,Modern stat,ольха
Fernandes RXX06 DAG,Fernandes,39.99,24,6,25.5,Stratocaster,клён
Schecter REAPER-6 SSKYB,Schecter,97.97,22,6,25.5,Modern stat,ольха
STAGG SVYCST BK,STAGG,28.355,24,6,24.0,Les paul,ольха
STAGG SVYCSTDLX FRED,STAGG,29.99,24,6,26.5,Superstrat,тополь
ROCKDALE Akira HSS Snow White,ROCKDALE,16.7,22,6,25.5,Stratocaster,клён
ARIA PRO II STG-004 MBL,ARIA,15.886,22,6,25.5,Stratocaster,клён
G&L Tribute Legacy Shoreline Gold MP Poplar,G&L,85.0,22,6,25.5,Stratocaster,тополь
PEAVEY Raptor Plus Pack Sunburst,PEAVEY,35.45,24,6,25.5,Stratocaster,липа
PEAVEY Raptor Custom RED,PEAVEY,24.7,24,6,25.5,Stratocaster,липа
